Campaign Name,Spend,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase,CTR,CR,CPC,CPM
2024-04 - Retargeting,26063.0,1023309.0,221466.0,10025,3240,2414,0.216421432822344,0.01090009301653527,0.11768397857910469,25.469335264323874
2024-04 - Spring Sale,45942.0,7510267.0,294079.0,13128,4259,3153,0.03915693010647957,0.010721608819398869,0.15622332774526573,6.11722592552302
